,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,MOŽEMO,DP,HDZ,SDP,BM
144,BENKOVAC,2,BENKOVAC 2,OSNOVNA SKOLA BENKOVAC,BENKOVAC BENKOVAC,1094,455,65,,,214,101,2 BENKOVAC 2 BENKOVAC
145,BENKOVAC,3,BENKOVACKO SELO,OSNOVNA SKOLA BENKOVAC,BENKOVAC BENKOVAC,675,213,45,,,116,29,3 BENKOVACKO SELO BENKOVAC
146,BEDNJA,6,BENKOVEC,KUCA VLADIMIRA HECEKA MERGED HETERO,BENKOVEC 37 BEDNJA,163,83,0,,,26,39,BENKOVECBEDNJA MERGED HETERO
147,PETROVSKO,2,BENKOVEC PETROVSKI,OSNOVNA SKOLA AMIHANOVICA MERGED HETERO,PETROVSKO 57 PETROVSKO,115,52,2,,,19,19,BENKOVEC PETROVSKIPETROVSKO MERGED HETERO
148,PREGRADA,11,BENKOVO,PODRUCNA SKOLA MERGED HETERO,BENKOVO 30 PREGRADA,413,176,5,,,49,101,BENKOVOPREGRADA MERGED HETERO
149,TOMPOJEVCI,1,BERAK,DOM KULTURE BERAK,OROLICKA 9 TOMPOJEVCI,310,207,86,,,92,19,1 BERAK TOMPOJEVCI
150,PAZIN,1,BERAM,ZGRADA STARE SKOLE,BERAM PAZIN,391,195,9,,,36,25,1 BERAM PAZIN
151,VELIKA KOPANICA,15,BERAVCI,OSNOVNA SKOLA IVAN FILIPOVIC PODRUCNA SKOLA U BERAVCIMA MERGED HETERO,BERAVCI 83 VELIKA KOPANICA,741,311,82,,,99,63,BERAVCIVELIKA KOPANICA MERGED HETERO
152,BEREK,1,BEREK,MJESNI DOM BEREK,BEREK 77 A BEREK,358,168,3,,,83,53,1 BEREK BEREK
153,BERETINEC,1,BERETINEC 1,OPCINSKA ZGRADA VELIKA SALA ULAZ RAVNO,BERETINEC BERETINEC,513,274,14,,,72,139,1 BERETINEC 1 BERETINEC
154,BERETINEC,2,BERETINEC 2,OPCINSKA ZGRADA VELIKA SALA ULAZ DESNO,BERETINEC BERETINEC,361,178,15,,,52,78,2 BERETINEC 2 BERETINEC
155,LOKVICICI,1,BERINOVAC,PIPLICINA KUCA,BERINOVAC LOKVICICI,171,77,5,,,60,5,1 BERINOVAC LOKVICICI
156,KLOSTAR IVANIC,4,BESLINEC,PUCKI DOM,BESLINEC BB KLOSTAR IVANIC,293,141,10,,,36,53,4 BESLINEC KLOSTAR IVANIC
157,SVETA NEDELJA,1,BESTOVJE,DRUSTVENI DOM BESTOVJE,BESTOVJE PRUDNJACI 1 SVETA NEDELJA,1112,624,74,,,204,223,1 BESTOVJE SVETA NEDELJA
158,SUNJA,22,BESTRMA,DRUSTVENI DOM,BESTRMA BB SUNJA,95,39,2,,,18,12,22 BESTRMA SUNJA
159,SVETVINCENAT,5,BIBICI,ZGRADA DRUSTVENOG DOMA,BIBICI SVETVINCENAT,118,46,3,,,1,6,5 BIBICI SVETVINCENAT
160,BIBINJE,1,BIBINJE,OSNOVNA SKOLA STJEPAN RADIC,BIBINJE BIBINJE,1084,496,47,,,337,58,1 BIBINJE BIBINJE
161,BIBINJE,2,BIBINJE,OSNOVNA SKOLA STJEPAN RADIC,BIBINJE BIBINJE,1089,508,68,,,304,82,2 BIBINJE BIBINJE
162,BIBINJE,3,BIBINJE,OSNOVNA SKOLA STJEPAN RADIC,BIBINJE BIBINJE,1244,555,59,,,365,65,3 BIBINJE BIBINJE
163,BEDENICA,6,BICAKI,VATROGASNI DOM,BEDENICA BB BEDENICA,129,79,4,,,32,30,6 BICAKI BEDENICA
164,GARCIN,4,BICKO SELO,OSNOVNA SKOLA U BICKOM SELU,BICKO SELO GARCIN,422,222,17,,,147,23,4 BICKO SELO GARCIN
165,SIRAC,7,BIJELA,DOM KULTURE BIJELA,BIJELA 47 SIRAC,44,19,1,,,1,13,7 BIJELA SIRAC
166,PODGORAC,8,BIJELA LOZA,DRUSTVENI DOM,BIJELA LOZA PODGORAC,80,50,1,,,0,39,8 BIJELA LOZA PODGORAC
167,ZAZABLJE,1,BIJELI VIR,OSNOVNA SKOLA,BIJELI VIR ZAZABLJE,267,132,53,,,69,4,1 BIJELI VIR ZAZABLJE
168,ERDUT,5,BIJELO BRDO,OSNOVNA SKOLA,NIKOLE TESLE 71 ERDUT,226,68,4,,,12,32,5 BIJELO BRDO ERDUT
169,ERDUT,6,BIJELO BRDO,OSNOVNA SKOLA,NIKOLE TESLE 71 ERDUT,150,58,5,,,2,34,6 BIJELO BRDO ERDUT
170,MARUSEVEC,9,BIKOVEC,DRUSTVENI DOM,BIKOVEC MARUSEVEC,199,97,4,,,20,51,9 BIKOVEC MARUSEVEC
171,STANKOVCI,6,BILA VLAKA,OBJEKT U VLASNISTVU ANTE PERICE ZV BACO MERGED HETERO,BILA VLAKA STANKOVCI,214,105,20,,,53,20,BILA VLAKASTANKOVCI MERGED HETERO
172,NOVA KAPELA,9,BILI BRIG,OSNOVNA SKOLA MERGED HETERO,BILI BRIG 42 NOVA KAPELA,234,120,8,,,55,34,BILI BRIGNOVA KAPELA MERGED HETERO
173,ZADAR,3,BILI BRIG,GRADSKA KNJIZNICA,PUT PUDARICE 15 ZADAR,1361,728,78,,,251,291,3 BILI BRIG ZADAR
174,ZADAR,4,BILI BRIG,OSNOVNA SKOLA ZADARSKI OTOCI,SIBENSKA 12A ZADAR,1172,609,76,,,243,199,4 BILI BRIG ZADAR
175,ZADAR,5,BILI BRIG,OSNOVNA SKOLA ZADARSKI OTOCI,SIBENSKA 12A ZADAR,1355,637,61,,,235,249,5 BILI BRIG ZADAR
176,ZADAR,6,BILI BRIG,OSNOVNA SKOLA ZADARSKI OTOCI,SIBENSKA 12A ZADAR,1089,522,82,,,229,143,6 BILI BRIG ZADAR
177,ZADAR,7,BILI BRIG,OSNOVNA SKOLA ZADARSKI OTOCI,SIBENSKA 12A ZADAR,920,425,41,,,218,104,7 BILI BRIG ZADAR
178,OBROVAC,4,BILISANE,MJESNI ODBOR BILISANE,BILISANE OBROVAC,80,29,1,,,23,3,4 BILISANE OBROVAC
179,BILJE,1,BILJE,OPCINA BILJE,KRALJA ZVONIMIRA 1B BILJE,631,320,31,,,109,96,1 BILJE BILJE
180,BILJE,2,BILJE,DOM KULTURE,KRALJA ZVONIMIRA 2 BILJE,622,329,30,,,123,111,2 BILJE BILJE
181,BILJE,3,BILJE,OSNOVNA SKOLA BILJE,SKOLSKA ULICA 6 BILJE,733,392,43,,,121,149,3 BILJE BILJE
182,BILJE,4,BILJE,OSNOVNA SKOLA BILJE,SKOLSKA ULICA 6 BILJE,723,411,26,,,130,114,4 BILJE BILJE
183,BIOGRAD NA MORU,5,BIOGRAD NA MORU,DJECJI VRTIC BIOGRAD PODRUCNO ODJELJENJE KOSAZAPAD,PASKA 1 BIOGRAD NA MORU BIOGRAD NA MORU,1114,645,71,,,351,145,5 BIOGRAD NA MORU BIOGRAD NA MORU
184,BIOGRAD NA MORU,4,BIOGRAD NA MORU,OSNOVNA SKOLA BIOGRAD UCIONICA U PRIZEMLJU,DR FRANJE TUDMANA 27 BIOGRAD NA MORU BIOGRAD NA MORU,1031,537,62,,,213,170,4 BIOGRAD NA MORU BIOGRAD NA MORU
185,ZAGVOZD,3,BIOKOVSKO SELO,KUCA MLADENA BAKOTE,DONJE BAKOTE BR 48 ZAGVOZD,45,20,2,,,16,0,3 BIOKOVSKO SELO ZAGVOZD
186,CISTA PROVO,2,BIORINE,PODRUCNA SKOLA,BIORINE CISTA PROVO,149,134,20,,,106,2,2 BIORINE CISTA PROVO
187,ZUMBERAK,5,BIR MJESTO BR5 MRZLO POLJE ZUMBERACKO,STARA SKOLA,MRZLO POLJE ZUMBERACKO ZUMBERAK,71,37,0,,,15,21,5 BIR MJESTO BR5 MRZLO POLJE ZUMBERACKO ZUMBERAK
188,BILICE,1,BIRACKO MJESTO 1,U SKOLSKOJ ZGRADI U BILICAMA,BILICE BILICE,1162,588,74,,,300,110,1 BIRACKO MJESTO 1 BILICE
189,BISKUPIJA,1,BIRACKO MJESTO 1,ZGRADA OPCINE BISKUPIJA,ORLIC ORLIC BB BISKUPIJA,24,13,1,,,0,6,1 BIRACKO MJESTO 1 BISKUPIJA
190,CIVLJANE,1,BIRACKO MJESTO 1,OPCINA CIVLJANE,CIVLJANE BR 3 CIVLJANE,27,12,0,,,10,1,1 BIRACKO MJESTO 1 CIVLJANE
191,DRNIS,1,BIRACKO MJESTO 1,GLAZBENA SKOLA U DRNISU,V NAZORA 4 DRNIS,554,307,39,,,168,55,1 BIRACKO MJESTO 1 DRNIS
192,ERVENIK,1,BIRACKO MJESTO 1,PROSTORIJE MJESNOG ODBORA ERVENIK,ERVENIK ERVENIK,59,29,0,,,1,9,1 BIRACKO MJESTO 1 ERVENIK
193,KIJEVO,1,BIRACKO MJESTO 1,OSNOVNA SKOLA KIJEVO,KIJEVO CENTAR 20 KIJEVO,188,103,13,,,81,3,1 BIRACKO MJESTO 1 KIJEVO
194,KISTANJE,1,BIRACKO MJESTO 1,PROSTORIJE OPCINSKE VIJECNICE U NOVOJ ZGRADI OPCINE,KISTANJE KISTANJE,934,463,18,,,350,49,1 BIRACKO MJESTO 1 KISTANJE
195,KNIN,1,BIRACKO MJESTO 1,ZGRADA HRVATSKIH CESTA NADCESTARIJA KNIN,DRNISKA CESTA 46 KNIN KNIN,137,70,2,,,41,17,1 BIRACKO MJESTO 1 KNIN
196,MURTER KORNATI,1,BIRACKO MJESTO 1,PROSTORIJE NARODNE KNJIZNICE I CITAONICE MURTER ZGRADA OPCINE MURTERKORNATI MERGED HETERO,BUTINA 2 MURTER KORNATI,628,300,46,,,91,97,BIRACKO MJESTO 1MURTER KORNATI MERGED HETERO
197,PIROVAC,1,BIRACKO MJESTO 1,OSNOVNA SKOLA PIROVAC,PUT SKOLE 10 PIROVAC,588,275,27,,,122,81,1 BIRACKO MJESTO 1 PIROVAC
198,PRIMORSKI DOLAC,1,BIRACKO MJESTO 1,OPCINA PRIMORSKI DOLAC OPCINSKA VIJECNICA,PRIMORSKI DOLAC 2 PRIMORSKI DOLAC,648,335,46,,,231,37,1 BIRACKO MJESTO 1 PRIMORSKI DOLAC
199,PRIMOSTEN,1,BIRACKO MJESTO 1,ZGRADA OPCINE PRIMOSTEN DJECJI VRTIC,SV JOSIPA 7 PRIMOSTEN,946,518,24,,,118,98,1 BIRACKO MJESTO 1 PRIMOSTEN
200,PROMINA,1,BIRACKO MJESTO 1,PROSTORIJE OPCINE PROMINA U OKLAJU,OKLAJ PROMINA,412,230,37,,,120,55,1 BIRACKO MJESTO 1 PROMINA
201,ROGOZNICA,1,BIRACKO MJESTO 1,DOM MATICE HRVATSKE U ROGOZNICI,ROGOZNICA ROGOZNICA,320,160,11,,,59,59,1 BIRACKO MJESTO 1 ROGOZNICA
202,RUZIC,1,BIRACKO MJESTO 1,PROSTORIJE OPCINE RUZIC U GRADCU,PUT KROZ GRADAC 25 RUZIC,421,243,48,,,161,20,1 BIRACKO MJESTO 1 RUZIC
203,SIBENIK,1,BIRACKO MJESTO 1,TURISTICKO UGOSTITELJSKA SKOLA,ANTE SUPUKA BB SIBENIK SIBENIK,743,413,29,,,161,153,1 BIRACKO MJESTO 1 SIBENIK
204,SKRADIN,1,BIRACKO MJESTO 1,ZGRADA KINA U SKRADINU MERGED HETERO,SKRADIN SKRADIN,677,364,44,,,167,75,BIRACKO MJESTO 1SKRADIN MERGED HETERO
205,TISNO,1,BIRACKO MJESTO 1,ZGRADA OPCINE TISNO PROSTORIJA NARODNE KNJIZNICE I CITAONICE TISNO MERGED HETERO,USKA ULICA 1 TISNO,429,260,12,,,107,98,BIRACKO MJESTO 1TISNO MERGED HETERO
206,TRIBUNJ,1,BIRACKO MJESTO 1,OSNOVNA SKOLA TRIBUNJ,V NAZORA 6 TRIBUNJ,683,366,47,,,149,111,1 BIRACKO MJESTO 1 TRIBUNJ
207,UNESIC,1,BIRACKO MJESTO 1,DOM KULTURE U UNESICU,UNESIC UNESIC,252,197,20,,,139,7,1 BIRACKO MJESTO 1 UNESIC
208,VODICE,1,BIRACKO MJESTO 1,ZGRADA KULTURNOG CENTRA U VODICAMA,IVE CACE 8 VODICE,1109,643,74,,,303,151,1 BIRACKO MJESTO 1 VODICE
209,PRGOMET,1,BIRACKO MJESTO 1 BOGDANOVICI,DOM MJESNOG ODBORA,BOGDANOVICI PUT ANTE DUKE 1 PRGOMET,170,101,11,,,72,9,1 BIRACKO MJESTO 1 BOGDANOVICI PRGOMET
210,TRILJ,1,BIRACKO MJESTO 1 BUDIMIRI,OS BUDIMIRI,BUDIMIRI TRILJ,123,69,6,,,52,3,1 BIRACKO MJESTO 1 BUDIMIRI TRILJ
211,DICMO,1,BIRACKO MJESTO 1 ERCEGOVCI,PODRUCNA SKOLA ERCEGOVCI,ERCEGOVCI DICMO,103,65,8,,,37,13,1 BIRACKO MJESTO 1 ERCEGOVCI DICMO
212,OTOK,1,BIRACKO MJESTO 1 GALA,OS IVAN MAZURANIC PODRUCNA SKOLA GALA,GALA OTOK,779,429,81,,,282,28,1 BIRACKO MJESTO 1 GALA OTOK
213,HRVACE,1,BIRACKO MJESTO 1 HRVACE,KUCA ANDE KEKEZ,HRVACE 67 A KOD RESTORANA JANKOVIC HRVACE,541,296,71,,,194,17,1 BIRACKO MJESTO 1 HRVACE HRVACE
214,KASTELA,1,BIRACKO MJESTO 1 KASTEL SUCURAC,KINO SV JURAJ,DR AALFIREVICA 20 KASTELA,1113,596,92,,,268,144,1 BIRACKO MJESTO 1 KASTEL SUCURAC KASTELA
215,KLIS,1,BIRACKO MJESTO 1 KLISVAROS,MJESNI ODBOR KLISVAROS,KNEZA TRPIMIRA 229 KLIS,342,233,75,,,96,36,1 BIRACKO MJESTO 1 KLISVAROS KLIS
216,DUGOPOLJE,1,BIRACKO MJESTO 1 KOPRIVNO,OBITELJSKA KUCA VLADE SAMADAN,KOPRIVNOULICA SVIH SVETIH 3 DUGOPOLJE,205,155,25,,,97,18,1 BIRACKO MJESTO 1 KOPRIVNO DUGOPOLJE
217,MARINA,1,BIRACKO MJESTO 1 MARINA,OSNOVNA SKOLA IVAN DUKNOVIC,DON FRANE MACANOVICA 1 MARINA MARINA,1041,487,38,,,192,170,1 BIRACKO MJESTO 1 MARINA MARINA
218,TUCEPI,1,BIRACKO MJESTO 1 TUCEPI,OSNOVNA SKOLA TUCEPI,KRAJ 17 TUCEPI,1592,896,110,,,349,336,1 BIRACKO MJESTO 1 TUCEPI TUCEPI
219,SINJ,1,BIRACKO MJESTO 1 U SINJU,GALERIJA GALIOTOVIC,BRNASKA 44 SINJ,926,480,136,,,179,121,1 BIRACKO MJESTO 1 U SINJU SINJ
220,VRLIKA,1,BIRACKO MJESTO 1 VRLIKA,GRADSKA VIJECNICA,FRA FILIPA GRABOVCA 6 VRLIKA,505,327,37,,,220,38,1 BIRACKO MJESTO 1 VRLIKA VRLIKA
221,DRNIS,10,BIRACKO MJESTO 10,OSNOVNA SKOLA U KAOCINAMA,KOD SKOLE KULUSICI 20 DRNIS,204,125,13,,,78,15,10 BIRACKO MJESTO 10 DRNIS
222,KNIN,10,BIRACKO MJESTO 10,ZGRADA OS DR FRANJE TUDMANA BIVSA II OS KNIN,KNEZA IVANISA NELIPICA BR 2 KNIN KNIN,711,356,55,,,174,76,10 BIRACKO MJESTO 10 KNIN
223,SIBENIK,10,BIRACKO MJESTO 10,OSNOVNA SKOLA TINA UJEVICA,TRG ANDRIJE HEBRANGA 11 SIBENIK SIBENIK,871,477,20,,,166,200,10 BIRACKO MJESTO 10 SIBENIK
224,SKRADIN,10,BIRACKO MJESTO 10,PROSTORIJE OSNOVNE SKOLE U PIRAMATOVCIMA,PIRAMATOVCI SKRADIN,265,137,13,,,102,10,10 BIRACKO MJESTO 10 SKRADIN
225,UNESIC,10,BIRACKO MJESTO 10,PROSTORIJA UNESCANKE U NEVESTU,NEVEST UNESIC,126,89,2,,,80,3,10 BIRACKO MJESTO 10 UNESIC
226,VODICE,10,BIRACKO MJESTO 10,OSNOVNA SKOLA CISTA VELIKA,CISTA VELIKA VODICE,424,275,27,,,206,24,10 BIRACKO MJESTO 10 VODICE
227,MUC,10,BIRACKO MJESTO 10 BRACEVICI,DRUSTVENI DOM,BRACEVIC MUC,150,51,8,,,33,7,10 BIRACKO MJESTO 10 BRACEVICI MUC
228,MARINA,10,BIRACKO MJESTO 10 DOGRADE,MJESNI DOM,DOGRADE BB MARINA,175,84,9,,,32,22,10 BIRACKO MJESTO 10 DOGRADE MARINA
229,TRILJ,10,BIRACKO MJESTO 10 GARDUN,OS GARDUN,GARDUN TRILJ,80,40,7,,,20,8,10 BIRACKO MJESTO 10 GARDUN TRILJ
230,KASTELA,10,BIRACKO MJESTO 10 KASTEL KAMBELOVAC,PROSTORIJE BRATSKE KUCE UDRUGA UMIROVLJENIKA LAZANI,BRCE 23 KASTELA,1448,743,141,,,365,126,10 BIRACKO MJESTO 10 KASTEL KAMBELOVAC KASTELA
231,SINJ,10,BIRACKO MJESTO 10 U TURJACIMA,OS TURJACI,TURJACI SINJ,939,512,120,,,314,44,10 BIRACKO MJESTO 10 U TURJACIMA SINJ
232,KLIS,10,BIRACKO MJESTO 10 VUCEVICA,MO VUCEVICA,ZVONIMIROVA 5 KLIS,41,24,1,,,21,1,10 BIRACKO MJESTO 10 VUCEVICA KLIS
233,DRNIS,11,BIRACKO MJESTO 11,OSNOVNA SKOLA U TRBOUNJU,KOD SKOLE 4 TRBOUNJE DRNIS,219,124,18,,,81,13,11 BIRACKO MJESTO 11 DRNIS
234,KNIN,11,BIRACKO MJESTO 11,ZGRADA OS DRFRANJE TUDMANA BIVSA II OS KNIN,KNEZA IVANISA NELIPICA BR 2 KNIN KNIN,610,312,29,,,142,85,11 BIRACKO MJESTO 11 KNIN
235,SIBENIK,11,BIRACKO MJESTO 11,OSNOVNA SKOLA TINA UJEVICA,TRG ANDRIJE HEBRANGA 11 SIBENIK SIBENIK,670,378,33,,,126,160,11 BIRACKO MJESTO 11 SIBENIK
236,SKRADIN,11,BIRACKO MJESTO 11,PROSTORIJE OSNOVNE SKOLE U KRKOVICU,KRKOVIC SKRADIN,280,160,8,,,128,10,11 BIRACKO MJESTO 11 SKRADIN
237,UNESIC,11,BIRACKO MJESTO 11,OSNOVNA SKOLA VISOKA U VISOKOJ,VISOKA UNESIC,41,36,2,,,32,0,11 BIRACKO MJESTO 11 UNESIC
238,VODICE,11,BIRACKO MJESTO 11,EX AMBULANTA U CISTOJ MALOJ,CISTA MALA VODICE,112,49,0,,,14,19,11 BIRACKO MJESTO 11 VODICE
239,MUC,11,BIRACKO MJESTO 11 DONJE POSTINJE,DRUSTVENI DOM,DONJE POSTINJE MUC,74,43,3,,,24,6,11 BIRACKO MJESTO 11 DONJE POSTINJE MUC
240,KASTELA,11,BIRACKO MJESTO 11 KASTEL LUKSIC,OS OSTROG,PUT SVLOVRE 2 KASTELA,1342,662,129,,,353,104,11 BIRACKO MJESTO 11 KASTEL LUKSIC KASTELA
241,KLIS,11,BIRACKO MJESTO 11 KORUSCE,PROSTORIJE MJESNOG ODBORA KORUSCE,PUT SKOLE 13 KLIS,71,39,4,,,27,6,11 BIRACKO MJESTO 11 KORUSCE KLIS
242,MARINA,11,BIRACKO MJESTO 11 POZORAC,MJESNI DOM MERGED HETERO,POZORAC BB MARINA,125,51,2,,,18,17,BIRACKO MJESTO 11 POZORACMARINA MERGED HETERO
243,SINJ,11,BIRACKO MJESTO 11 U GLAVICAMA DONJIM,OS U GLAVICAMA,GLAVICE DONJE SINJ,1680,858,210,,,363,235,11 BIRACKO MJESTO 11 U GLAVICAMA DONJIM SINJ
244,TRILJ,11,BIRACKO MJESTO 11TRILJ,OS TRILJ,TRILJ TRILJ,1117,629,99,,,380,98,11 BIRACKO MJESTO 11TRILJ TRILJ
245,DRNIS,12,BIRACKO MJESTO 12,KUCA IVANA TARLE DRAGE U VELUSICU MERGED HETERO,TARLE 1 VELUSIC DRNIS,69,50,0,,,39,3,BIRACKO MJESTO 12DRNIS MERGED HETERO
246,KNIN,12,BIRACKO MJESTO 12,ZGRADA OPCE BOLNICE KNIN MERGED HETERO,SURONJINA BB KNIN KNIN,1074,492,47,,,353,57,BIRACKO MJESTO 12KNIN MERGED HETERO
247,SIBENIK,12,BIRACKO MJESTO 12,OSNOVNA SKOLA JURJA DALMATINCA,STIPE NINICA 27 SIBENIK SIBENIK,557,313,30,,,114,111,12 BIRACKO MJESTO 12 SIBENIK
248,VODICE,12,BIRACKO MJESTO 12,OSNOVNA SKOLA GACELEZI,GACELEZI VODICE,194,99,16,,,70,3,12 BIRACKO MJESTO 12 VODICE
249,MARINA,12,BIRACKO MJESTO 12 BLIZNA GORNJA,MJESNI DOM,BLIZNA GORNJA MARINA,79,55,4,,,25,11,12 BIRACKO MJESTO 12 BLIZNA GORNJA MARINA
250,KLIS,12,BIRACKO MJESTO 12 BRSTANOVO,MO BRSTANOVO,HRVATSKIH VELIKANA 12 KLIS,247,162,28,,,107,15,12 BIRACKO MJESTO 12 BRSTANOVO KLIS
251,MUC,12,BIRACKO MJESTO 12 GORNJE POSTINJE,DRUSTVENI DOM,GORNJE POSTINJE MUC,116,55,14,,,24,5,12 BIRACKO MJESTO 12 GORNJE POSTINJE MUC
252,KASTELA,12,BIRACKO MJESTO 12 KASTEL LUKSIC,OS OSTROG,PUT SV LOVRE 2 KASTELA,1290,634,110,,,301,130,12 BIRACKO MJESTO 12 KASTEL LUKSIC KASTELA
253,TRILJ,12,BIRACKO MJESTO 12 KOSUTE,OS KOSUTE,KOSUTE TRILJ,1435,798,137,,,564,50,12 BIRACKO MJESTO 12 KOSUTE TRILJ
254,SINJ,12,BIRACKO MJESTO 12 U GLAVICAMA GORNJIM,KUCA MATE PALESKO EXMATANOVI DVORI MERGED HETERO,GLAVICE GORNJE SINJ,1427,705,209,,,278,173,BIRACKO MJESTO 12 U GLAVICAMA GORNJIMSINJ MERGED HETERO
255,DRNIS,13,BIRACKO MJESTO 13,PROSTORIJA ZELJEZNICKOG KOLODVORA DRNIS U BADNJU BADANJ,ZELJEZNICKA STANICA 6 A DRNIS,239,146,11,,,113,9,13 BIRACKO MJESTO 13 DRNIS
256,KNIN,13,BIRACKO MJESTO 13,ZGRADA OPCE BOLNICE MERGED HETERO,SURONJINA BB KNIN KNIN,835,396,38,,,252,66,BIRACKO MJESTO 13KNIN MERGED HETERO
257,SIBENIK,13,BIRACKO MJESTO 13,OSNOVNA SKOLA JURJA DALMATINCA,STIPE NINICA 27 SIBENIK SIBENIK,704,363,21,,,155,123,13 BIRACKO MJESTO 13 SIBENIK
258,VODICE,13,BIRACKO MJESTO 13,KUCA VLASNIKA STIPANA BRUSANA,GRABOVCI 18 VODICE,74,51,8,,,30,9,13 BIRACKO MJESTO 13 VODICE
259,MARINA,13,BIRACKO MJESTO 13 BLIZNA DONJA,OS BLIZNA DONJA,BLIZNA DONJA MARINA,197,91,13,,,53,15,13 BIRACKO MJESTO 13 BLIZNA DONJA MARINA
260,TRILJ,13,BIRACKO MJESTO 13 GRAB,OS GRAB,GRAB TRILJ,697,372,61,,,225,54,13 BIRACKO MJESTO 13 GRAB TRILJ
261,KASTELA,13,BIRACKO MJESTO 13 KASTEL LUKSIC,DVORAC VITTURI,BRCE 5 KASTELA,2307,1121,178,,,549,272,13 BIRACKO MJESTO 13 KASTEL LUKSIC KASTELA
262,KLIS,13,BIRACKO MJESTO 13 NISKO,MO NISKO,HRVATSKIH VELIKANA 88 KLIS,187,124,9,,,103,7,13 BIRACKO MJESTO 13 NISKO KLIS
263,MUC,13,BIRACKO MJESTO 13 RAMLJANE,DRUSTVENI DOM,RAMLJANE MUC,118,44,4,,,26,3,13 BIRACKO MJESTO 13 RAMLJANE MUC
264,SINJ,13,BIRACKO MJESTO 13 U HANU,OS U HANU,HAN SINJ,731,362,82,,,196,46,13 BIRACKO MJESTO 13 U HANU SINJ
265,DRNIS,14,BIRACKO MJESTO 14,KUCA ZVONIMIRA DZALE U KRICKAMA,KOD CRKVE KRALJICE MIRA 20 KRICKE DRNIS,197,95,4,,,68,8,14 BIRACKO MJESTO 14 DRNIS
266,KNIN,14,BIRACKO MJESTO 14,POLJOPRIVREDNA ZADRUGA GOLUBIC MERGED HETERO,GOLUBIC KNIN,539,284,26,,,208,18,BIRACKO MJESTO 14KNIN MERGED HETERO
267,SIBENIK,14,BIRACKO MJESTO 14,UPRAVNA ZGRADA TEFA REG RAZ AGENCIJA SKZ MERGED HETERO,PRILAZ TVORNICI BB SIBENIK SIBENIK,674,364,58,,,145,102,BIRACKO MJESTO 14SIBENIK MERGED HETERO
268,TRILJ,14,BIRACKO MJESTO 14 JABUKA,OS JABUKA,JABUKA TRILJ,246,156,20,,,58,63,14 BIRACKO MJESTO 14 JABUKA TRILJ
269,KASTELA,14,BIRACKO MJESTO 14 KASTEL STARI,OS PROF FILIP LUKAS,SLAVONSKA 5 KASTELA,2395,1246,231,,,659,205,14 BIRACKO MJESTO 14 KASTEL STARI KASTELA
270,MARINA,14,BIRACKO MJESTO 14 MITLO,MJESNI DOM,MITLO BB MARINA,74,50,9,,,27,6,14 BIRACKO MJESTO 14 MITLO MARINA
271,KLIS,14,BIRACKO MJESTO 14 PRUGOVO,MO PRUGOVO,IVANA PAVLA II 100 KLIS,434,268,70,,,157,13,14 BIRACKO MJESTO 14 PRUGOVO KLIS
272,SINJ,14,BIRACKO MJESTO 14 U BAJAGICU,OS BAJAGIC,BAJAGIC SINJ,511,220,43,,,147,17,14 BIRACKO MJESTO 14 U BAJAGICU SINJ
273,DRNIS,15,BIRACKO MJESTO 15,KUCA BOSKA CAVALE U SEDRAMICU MERGED HETERO,CAVALE 5 DRNIS,173,101,5,,,69,2,BIRACKO MJESTO 15DRNIS MERGED HETERO
274,KNIN,15,BIRACKO MJESTO 15,ZGRADA NOVE AMBULANTE,PLAVNO KNIN,41,21,0,,,0,10,15 BIRACKO MJESTO 15 KNIN
275,SIBENIK,15,BIRACKO MJESTO 15,UPRAVNA ZGRADA TEFA REG RAZ AGENCIJA SKZ MERGED HETERO,PRILAZ TVORNICI BB SIBENIK SIBENIK,902,510,63,,,294,75,BIRACKO MJESTO 15SIBENIK MERGED HETERO
276,KASTELA,15,BIRACKO MJESTO 15 KASTEL STARI,VATROGASNI DOM,IVANA DANILA 19 KASTELA,1690,829,123,,,406,195,15 BIRACKO MJESTO 15 KASTEL STARI KASTELA
277,SINJ,15,BIRACKO MJESTO 15 U GLJEVU,OS U GLJEVU,GLJEV SINJ,295,125,20,,,85,10,15 BIRACKO MJESTO 15 U GLJEVU SINJ
278,TRILJ,15,BIRACKO MJESTO 15 VELIC,OS VELIC,VELIC TRILJ,247,130,18,,,95,4,15 BIRACKO MJESTO 15 VELIC TRILJ
279,MARINA,15,BIRACKO MJESTO 15 VINOVAC,MJESNI DOM,VINOVAC BB MARINA,75,55,0,,,23,11,15 BIRACKO MJESTO 15 VINOVAC MARINA
280,DRNIS,16,BIRACKO MJESTO 16,KUCA MILE MUJANA U ZITNICU,MUJANI 4B ZITNIC DRNIS,151,92,11,,,61,4,16 BIRACKO MJESTO 16 DRNIS
281,KNIN,16,BIRACKO MJESTO 16,ZGRADA OSNOVNE SKOLE STRMICA PRIHVATNI CENTAR MERGED HETERO,STRMICA KNIN,32,12,1,,,1,8,BIRACKO MJESTO 16KNIN MERGED HETERO
282,SIBENIK,16,BIRACKO MJESTO 16,PROSTORIJE DJECJEG VRTICA GRADA,KRALJA ZVONIMIRA 68 SIBENIK SIBENIK,941,500,36,,,209,162,16 BIRACKO MJESTO 16 SIBENIK
