,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,HDZ,SDP,BM
4118,VELIKA GORICA,14,STARI GRAD,OSNOVNA ŠKOLA JURJA HABDELIĆA,"VELIKA GORICA, ŠKOLSKA BB, VELIKA GORICA",1406,785,92,242,158,"14 STARI GRAD, VELIKA GORICA"
4119,VELIKA GORICA,15,STARI GRAD,VATROGASNI DOM,"VELIKA GORICA, ZAGREBAČKA 3, VELIKA GORICA",1645,802,89,275,154,"15 STARI GRAD, VELIKA GORICA"
4120,STARI GRAD,1,STARI GRAD,OSNOVNA ŠKOLA PETAR HEKTOROVIĆ,"OBALA DR. FRANJE TUĐMANA 1, STARI GRAD",1124,572,36,230,158,"1 STARI GRAD, STARI GRAD"
4121,STARI GRAD,2,STARI GRAD,HRVATSKI DOM  ČITOVNICA,"NOVO RIVA 2, STARI GRAD",901,453,31,187,134,"2 STARI GRAD, STARI GRAD"
4122,PITOMAČA,5,STARI GRADAC,PODRUČNA ŠKOLA MERGED HETERO,"STARI GRADAC, VLADIMIRA NAZORA 115 B, PITOMAČA",522,261,10,142,53,STARI GRADAC MERGED HETERO
4123,STARI JANKOVCI,1,STARI JANKOVCI,ZGRADA OPĆINE,"DR.FRANJE TUĐMANA 1, STARI JANKOVCI",1169,507,21,272,45,"1 STARI JANKOVCI, STARI JANKOVCI"
4124,STARI MIKANOVCI,1,STARI MIKANOVCI,CENTAR I U STARIM MIKANOVCIMA,"VLADIMIRA NAZORA 2, STARI MIKANOVCI",675,274,13,107,111,"1 STARI MIKANOVCI, STARI MIKANOVCI"
4125,STARI MIKANOVCI,2,STARI MIKANOVCI,CENTAR II U STARIM MIKANOVCIMA,"MATIJE GUPCA 2, STARI MIKANOVCI",557,304,5,87,156,"2 STARI MIKANOVCI, STARI MIKANOVCI"
4126,STARI MIKANOVCI,3,STARI MIKANOVCI,ŠUMARIJA STARI MIKANOVCI,"VLADIMIRA NAZORA 54, STARI MIKANOVCI",635,339,11,107,145,"3 STARI MIKANOVCI, STARI MIKANOVCI"
4127,BJELOVAR,46,STARI PAVLJANI,DOM U STARIM PAVLJANIMA MERGED HETERO,"STARI PAVLJANI 81, BJELOVAR",184,74,3,34,16,STARI PAVLJANI MERGED HETERO
4128,PAZIN,11,STARI PAZIN NOVO NASELJE,STARI PAZIN,"JOSIPA VOLTIĆA BB, PAZIN, PAZIN",841,406,26,59,194,"11 STARI PAZIN NOVO NASELJE, PAZIN"
4129,VRPOLJE,4,STARI PERKOVCI,OŠ IVAN MEŠTROVIĆ VRPOLJE PODRUČNA ŠKOLA STARI PERKOVCI,"STARI PERKOVCI, STJEPANA RADIĆA 19, VRPOLJE",850,541,2,384,50,"4 STARI PERKOVCI, VRPOLJE"
4130,ZAGREB-ISTOČNI DIO,59,STARI RETKOVEC,PROSTORIJE MJESNOG ODBORA,"I. RETKOVEC 2A, ZAGREB-ISTOČNI DIO",1197,466,65,169,52,"59 STARI RETKOVEC, ZAGREBISTOČNI DIO"
4131,ZAGREB-ISTOČNI DIO,60,STARI RETKOVEC,OŠ SESVETSKA SOPNICA,"SOPNIČKA ULICA 69, ZAGREB-ISTOČNI DIO",1164,438,40,143,71,"60 STARI RETKOVEC, ZAGREBISTOČNI DIO"
4132,KAPELA,9,STARI SKUCANI,DRUŠTVENI DOM,"STARI SKUCANI 81, KAPELA",104,56,2,23,21,"9 STARI SKUCANI, KAPELA"
4133,BRODSKI STUPNIK,3,STARI SLATINIK,DRUŠTVENI DOM STARI SLATINIK,"STARI SLATINIK, ULICA HRVATSKIH BRANITELJA 183, BRODSKI STUPNIK",997,478,59,213,93,"3 STARI SLATINIK, BRODSKI STUPNIK"
4134,KOPRIVNICA,2,STARIGRAD,PODRUČNA ŠKOLA STARIGRAD 1,"KREŠIMIROVA ULICA 30, KOPRIVNICA",976,389,16,84,162,"2 STARIGRAD, KOPRIVNICA"
4135,KOPRIVNICA,3,STARIGRAD,PODRUČNA ŠKOLA STARIGRAD 2,"KREŠIMIROVA ULICA 30, KOPRIVNICA",1040,384,20,102,156,"3 STARIGRAD, KOPRIVNICA"
4136,STARIGRAD,1,STARIGRAD,OSNOVNA ŠKOLA STARIGRAD,"STARIGRAD, STARIGRAD",1162,532,33,296,80,"1 STARIGRAD, STARIGRAD"
4137,ČAĐAVICA,6,STARIN,VATROGASNI DOM,"STARIN, ČAĐAVICA",62,36,2,24,3,"6 STARIN, ČAĐAVICA"
4138,ŠTEFANJE,10,STARINE,DRUŠTVENI DOM STARINE MERGED HETERO,"STARINE 13, ŠTEFANJE",49,29,2,13,5,STARINE MERGED HETERO
4139,ZAGREB-ISTOČNI DIO,125,STARO BRESTJE,OŠ LUKASESVETE,"ULICA OTONA IVEKOVIĆA 16 JUŽNI ULAZ, ZAGREB-ISTOČNI DIO",1043,472,82,108,69,"125 STARO BRESTJE, ZAGREBISTOČNI DIO"
4140,ZAGREB-ISTOČNI DIO,126,STARO BRESTJE,OŠ LUKASESVETE,"ULICA OTONA IVEKOVIĆA 16 JUŽNI ULAZ, ZAGREB-ISTOČNI DIO",1017,451,86,154,57,"126 STARO BRESTJE, ZAGREBISTOČNI DIO"
4141,ZAGREB-ISTOČNI DIO,127,STARO BRESTJE,OŠ BRESTJE,"ULICA POTOČNICA 8, ZAGREB-ISTOČNI DIO",1306,615,88,195,98,"127 STARO BRESTJE, ZAGREBISTOČNI DIO"
4142,ZAGREB-ISTOČNI DIO,128,STARO BRESTJE,OŠ BRESTJE,"ULICA POTOČNICA 8, ZAGREB-ISTOČNI DIO",1334,688,150,220,84,"128 STARO BRESTJE, ZAGREBISTOČNI DIO"
4143,ZAGREB-ISTOČNI DIO,129,STARO BRESTJE,OŠ BRESTJE,"ULICA POTOČNICA 8, ZAGREB-ISTOČNI DIO",1311,602,77,214,84,"129 STARO BRESTJE, ZAGREBISTOČNI DIO"
4144,STARO PETROVO SELO,9,STARO PETROVO SELO,VATROGASNI DOM STARO PETROVO SELO,"FRANKOPANSKA 4, STARO PETROVO SELO",762,290,16,152,49,"9 STARO PETROVO SELO, STARO PETROVO SELO"
4145,STARO PETROVO SELO,10,STARO PETROVO SELO,DRUŠTVENI DOM STARO PETROVO SELO,"MATIJE GUPCA 31, STARO PETROVO SELO",614,269,2,132,51,"10 STARO PETROVO SELO, STARO PETROVO SELO"
4146,SISAK,55,STARO PRAČNO,DRUŠTVENI DOM STARO PRAČNO,"STARO PRAČNO 10, SISAK",733,355,15,149,89,"55 STARO PRAČNO, SISAK"
4147,SISAK,69,STARO SELO,KUĆA MILOŠA ĐUKIĆA MERGED HETERO,"STARO SELO 61, SISAK",104,32,1,0,28,STARO SELO MERGED HETERO
4148,TOPUSKO,8,STARO SELO TOPUSKO,DRUŠTVENI DOM STARO SELO TOPUSKO,"STARO SELO TOPUSKO 142, TOPUSKO",98,30,0,16,12,"8 STARO SELO TOPUSKO, TOPUSKO"
4149,DONJI ANDRIJEVCI,1,STARO TOPOLJE,OŠ VCEMIN PODRUČNA ŠKOLA STARO TOPOLJE,"STARO TOPOLJE, IVE LOLE RIBARA 71, DONJI ANDRIJEVCI",593,209,11,104,20,"1 STARO TOPOLJE, DONJI ANDRIJEVCI"
